date,time,close,high,low,open
22-11-2019,14:35:00,11906,11911.4,11903.65,11909.9
22-11-2019,14:45:00,11900.25,11904.95,11891.65,11904.95
22-11-2019,14:55:00,11918.6,11919.85,11899.75,11900.5
22-11-2019,15:05:00,11911.15,11924.4,11906.7,11919.2
22-11-2019,15:15:00,11915.6,11917.65,11908.3,11912.1
22-11-2019,15:25:00,11916.1,11918.05,11913.5,11916.15
25-11-2019,09:15:00,11947.45,11956.7,11922.45,11922.45
25-11-2019,09:25:00,11978.25,11981.75,11939.65,11947.95
25-11-2019,09:35:00,11969.05,11980.15,11968.3,11978.8
25-11-2019,09:45:00,11977.35,11987,11970.35,11970.35
25-11-2019,09:55:00,11976.6,11986.75,11975.25,11977.4
25-11-2019,10:05:00,11974.6,11977.45,11971.25,11976.85
25-11-2019,10:15:00,11979.65,11979.95,11967.65,11974.55
25-11-2019,10:25:00,11983.45,11988.8,11976.75,11979.75
25-11-2019,10:35:00,12000.25,12001.4,11983.5,11983.5
25-11-2019,10:45:00,11991.8,12000.4,11988.8,11999.9
25-11-2019,10:55:00,11992.95,11995,11988.9,11992
25-11-2019,11:05:00,11993.2,11999.1,11990.45,11992.65
25-11-2019,11:15:00,11999.85,12001.4,11990.3,11993.05
25-11-2019,11:25:00,12008,12013.3,12000.35,12000.35
25-11-2019,11:35:00,12018.05,12018.45,12006.7,12007.9
25-11-2019,11:45:00,12010.65,12019.9,12009.1,12018.35
25-11-2019,11:55:00,12011.35,12013.85,12007.2,12010.85
25-11-2019,12:05:00,12016.95,12019.65,12011.8,12011.8
25-11-2019,12:15:00,12027.15,12028.55,12016.95,12016.95
25-11-2019,12:25:00,12029.65,12032.65,12024.35,12027.9
25-11-2019,12:35:00,12027.2,12031.65,12024.7,12030.15
25-11-2019,12:45:00,12028.7,12032.7,12025.45,12027.95
25-11-2019,12:55:00,12027.15,12030.35,12022.5,12029.35
25-11-2019,13:05:00,12025.95,12032.1,12023.95,12027.85
25-11-2019,13:15:00,12023.75,12028.8,12022.1,12026.25
25-11-2019,13:25:00,12043.95,12046.55,12023.8,12024.85
25-11-2019,13:35:00,12051.45,12057.6,12044.95,12044.95
25-11-2019,13:45:00,12053.8,12063.95,12049,12051.75
25-11-2019,13:55:00,12059.1,12059.25,12049.35,12054.25
25-11-2019,14:05:00,12057.2,12062,12056.35,12059.05
25-11-2019,14:15:00,12063.5,12066.8,12055.7,12056.3
25-11-2019,14:25:00,12057.1,12063.95,12053.6,12062.85
25-11-2019,14:35:00,12046.3,12056.75,12041.85,12056.75
25-11-2019,14:45:00,12052.2,12057.15,12045.9,12046.95
25-11-2019,14:55:00,12063.7,12065.6,12048.8,12052.15
25-11-2019,15:05:00,12076.75,12080.85,12062.4,12063.15
25-11-2019,15:15:00,12081.55,12083.9,12072.9,12077.05
25-11-2019,15:25:00,12079,12081.05,12074.55,12080.75
26-11-2019,09:15:00,12128.3,12128.5,12100.85,12110.2
26-11-2019,09:25:00,12119.95,12132.15,12105.7,12128.4
26-11-2019,09:35:00,12113.95,12122.4,12110,12120.15
